frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
0;60;2186850;177300;16
1;60;2181510;175517;16
2;60;2173710;174832;18
3;60;2174700;174455;17
4;60;2163315;170795;15
5;60;2155050;172305;17
6;60;2140980;171360;16
7;60;2149005;173278;15
8;60;2142120;172938;18
9;60;2151375;172162;16
10;60;2151465;171735;16
11;60;2162265;172270;16
12;60;2157225;173676;17
13;60;2169660;173717;16
14;60;2172600;174316;16
15;60;2160465;163872;15
16;60;2154975;174526;15
17;60;2137875;173553;15
18;60;2125935;173716;15
19;60;2115705;169595;17
20;60;2119890;168951;15
21;60;2107350;168313;15
22;60;2104590;166831;15
23;60;2106390;168313;16
24;60;2100510;167266;15
25;60;2107080;169073;15
26;60;2104740;168822;24
27;60;2106225;168032;15
28;60;2114115;169486;16
29;60;2106915;170504;15
30;60;2110680;169758;15
31;60;2114670;170204;15
32;60;2140335;172950;16
33;60;2148870;173471;16
34;60;2179155;177686;17
35;60;2197680;181105;17
36;60;2236770;185060;17
37;60;2259375;187709;20
38;60;2282085;189429;17
39;60;2306685;190392;19
40;60;2296350;190897;18
41;60;2294745;189859;20
42;60;2289045;189089;17
43;60;2277780;190247;18
44;60;2273175;187360;17
45;60;2271105;189136;17
46;60;2267475;188088;17
47;60;2276190;188344;17
48;60;2272065;189095;17
49;60;2275635;188435;17
50;60;2258175;187697;17
51;60;2249130;186000;18
52;60;2225145;184260;18
53;60;2216850;184860;17
54;60;2216745;185963;17
55;60;2227935;185213;17
56;60;2230410;184928;19
57;60;2238645;186251;18
58;60;2229540;186129;17
59;60;2212875;184226;18
60;60;2231745;184550;17
61;60;2224035;184402;17
62;60;2228190;184498;17
63;60;2218440;185016;17
64;60;2214690;185242;16
65;60;2212620;183006;17
66;60;2190750;182365;17
67;60;2173350;179838;17
68;60;2181870;178347;17
69;60;2170365;179232;16
70;60;2158890;179087;16
71;60;2168730;178183;16
72;60;2164740;179522;16
73;60;2187045;181065;17
74;60;2184075;180812;16
75;60;2168220;178467;16
76;60;2163675;178720;16
77;60;2150415;178363;16
78;60;2161515;178146;18
79;60;2168670;180277;19
80;60;2171715;180835;16
81;60;2168025;180900;16
82;60;2165595;178848;16
83;60;2143770;177404;16
84;60;2138250;175825;16
85;60;2162670;176975;16
86;60;2162130;178071;16
87;60;2179065;179709;16
88;60;2192805;182208;17
89;60;2221110;183611;19
90;60;2219220;184460;17
91;60;2227665;185144;18
92;60;2220375;183406;17
93;60;2216280;185078;17
94;60;2221845;182881;16
95;60;2216400;183331;18
96;60;2214765;184317;17
97;60;2237370;183626;17
98;60;2268900;187563;17
99;60;2283870;189303;19
100;60;2298000;189465;18
101;60;2295195;190041;17
102;60;2286555;189678;18
