frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
0;15;2186850;52933;6
1;15;2181510;52749;5
2;15;2173710;52287;5
3;15;2174700;51760;5
4;15;2163315;51098;5
5;15;2155050;51622;4
6;15;2140980;50954;4
7;15;2149005;51318;4
8;15;2142120;51782;5
9;15;2151375;51612;4
10;15;2151465;51460;4
11;15;2162265;51323;4
12;15;2157225;51777;4
13;15;2169660;51885;4
14;15;2172600;52059;4
15;15;2160465;49801;4
16;15;2154975;52494;4
17;15;2137875;52019;4
18;15;2125935;52144;4
19;15;2115705;50694;4
20;15;2119890;50383;5
21;15;2107350;50808;4
22;15;2104590;49816;4
23;15;2106390;50562;4
24;15;2100510;50044;4
25;15;2107080;50744;4
26;15;2104740;50406;4
27;15;2106225;50385;4
28;15;2114115;50962;4
29;15;2106915;51103;4
30;15;2110680;50362;4
31;15;2114670;51249;4
32;15;2140335;51890;4
33;15;2148870;51647;4
34;15;2179155;53035;5
35;15;2197680;53871;4
36;15;2236770;55291;5
37;15;2259375;55773;5
38;15;2282085;56526;5
39;15;2306685;56827;6
40;15;2296350;57292;5
41;15;2294745;56399;5
42;15;2289045;56314;5
43;15;2277780;56595;5
44;15;2273175;55982;5
45;15;2271105;56164;5
46;15;2267475;56206;5
47;15;2276190;56519;4
48;15;2272065;56741;5
49;15;2275635;55963;6
50;15;2258175;56700;5
51;15;2249130;55580;5
52;15;2225145;54908;5
53;15;2216850;55749;5
54;15;2216745;55643;5
55;15;2227935;55341;5
56;15;2230410;55360;5
57;15;2238645;55452;4
58;15;2229540;55651;5
59;15;2212875;54663;5
60;15;2231745;54947;4
61;15;2224035;55270;4
62;15;2228190;54909;4
63;15;2218440;55175;5
64;15;2214690;55092;6
65;15;2212620;54608;4
66;15;2190750;54184;5
67;15;2173350;53642;4
68;15;2181870;53521;4
69;15;2170365;53021;4
70;15;2158890;53174;5
71;15;2168730;53191;5
72;15;2164740;53899;4
73;15;2187045;53714;5
74;15;2184075;53872;4
75;15;2168220;53590;4
76;15;2163675;53501;4
77;15;2150415;53239;6
78;15;2161515;53399;5
79;15;2168670;53737;5
80;15;2171715;53944;6
81;15;2168025;54222;5
82;15;2165595;52953;4
83;15;2143770;52880;4
84;15;2138250;52559;4
85;15;2162670;53061;4
86;15;2162130;52833;4
87;15;2179065;53286;4
88;15;2192805;54338;4
89;15;2221110;55079;5
90;15;2219220;54680;5
91;15;2227665;55500;4
92;15;2220375;54666;4
93;15;2216280;55037;5
94;15;2221845;54536;5
95;15;2216400;54782;5
96;15;2214765;54753;5
97;15;2237370;55321;5
98;15;2268900;55881;5
