frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
0;25;2186850;82899;8
1;25;2181510;82056;8
2;25;2173710;81242;7
3;25;2174700;81469;7
4;25;2163315;80068;6
5;25;2155050;80284;7
6;25;2140980;80190;6
7;25;2149005;81039;7
8;25;2142120;80728;7
9;25;2151375;80707;10
10;25;2151465;80386;7
11;25;2162265;80022;6
12;25;2157225;81279;7
13;25;2169660;81273;8
14;25;2172600;82078;7
15;25;2160465;77388;6
16;25;2154975;81883;7
17;25;2137875;81027;7
18;25;2125935;81360;7
19;25;2115705;78868;7
20;25;2119890;78892;7
21;25;2107350;78822;7
22;25;2104590;77803;7
23;25;2106390;78704;7
24;25;2100510;78450;7
25;25;2107080;78784;7
26;25;2104740;78562;7
27;25;2106225;78340;7
28;25;2114115;79141;7
29;25;2106915;79556;7
30;25;2110680;79204;7
31;25;2114670;79020;7
32;25;2140335;81279;7
33;25;2148870;80921;7
34;25;2179155;83114;7
35;25;2197680;84246;8
36;25;2236770;86590;7
37;25;2259375;87752;8
38;25;2282085;88795;8
39;25;2306685;89473;8
40;25;2296350;88942;8
41;25;2294745;89351;8
42;25;2289045;88050;7
43;25;2277780;88639;7
44;25;2273175;87791;7
45;25;2271105;88510;8
46;25;2267475;88260;8
47;25;2276190;87958;7
48;25;2272065;88036;7
49;25;2275635;88085;8
50;25;2258175;87725;7
51;25;2249130;87298;7
52;25;2225145;86037;8
53;25;2216850;86346;7
54;25;2216745;86167;7
55;25;2227935;86173;9
56;25;2230410;86188;8
57;25;2238645;87403;7
58;25;2229540;86699;7
59;25;2212875;85934;8
60;25;2231745;86052;7
61;25;2224035;85644;7
62;25;2228190;86153;7
63;25;2218440;86607;8
64;25;2214690;86708;7
65;25;2212620;85383;7
66;25;2190750;85693;7
67;25;2173350;84585;7
68;25;2181870;83128;7
69;25;2170365;83543;7
70;25;2158890;83167;7
71;25;2168730;83493;7
72;25;2164740;84169;8
73;25;2187045;85000;7
74;25;2184075;84791;7
75;25;2168220;83671;7
76;25;2163675;83371;7
77;25;2150415;83364;7
78;25;2161515;83277;7
79;25;2168670;84320;8
80;25;2171715;84635;9
81;25;2168025;84509;7
82;25;2165595;83340;7
83;25;2143770;82919;7
84;25;2138250;82162;7
85;25;2162670;83141;17
86;25;2162130;83587;9
87;25;2179065;83580;7
88;25;2192805;85088;8
89;25;2221110;85976;7
90;25;2219220;85825;7
91;25;2227665;86459;7
92;25;2220375;86318;8
93;25;2216280;85908;7
94;25;2221845;85073;7
95;25;2216400;85617;7
96;25;2214765;85951;7
97;25;2237370;85728;8
98;25;2268900;87824;7
99;25;2283870;88265;9
100;25;2298000;89227;7
101;25;2295195;88534;8
102;25;2286555;89147;7
103;25;2275680;88429;8
104;25;2251425;88163;7
105;25;2245110;87805;7
106;25;2224035;86946;7
107;25;2216070;87579;8
108;25;2224320;87600;7
109;25;2236980;87786;7
110;25;2217765;87894;7
111;25;2235255;87084;7
112;25;2223150;87733;7
113;25;2227725;87078;8
114;25;2228490;88169;7
115;25;2219025;87229;7
116;25;2229780;87353;8
117;25;2226540;86717;7
118;25;2218410;82570;7
119;25;2211915;86731;8
120;25;2225400;86913;8
121;25;2223300;86459;8
122;25;2216220;85148;8
123;25;2200035;84341;7
124;25;2152920;82514;8
125;25;2151510;81808;7
126;25;2145885;82501;7
127;25;2151885;81953;8
128;25;2142000;82067;7
129;25;2148150;82809;7
130;25;2147535;82866;7
131;25;2175285;83031;7
132;25;2154150;82920;7
133;25;2153610;82503;7
134;25;2137830;81584;8
135;25;2143605;82483;7
136;25;2165625;82857;7
137;25;2155740;83047;7
138;25;2170335;83615;7
139;25;2149710;82226;7
140;25;2156385;82305;7
141;25;2143485;82182;8
142;25;2156220;82479;7
143;25;2159070;82994;7
144;25;2161470;82518;7
145;25;2172345;83674;8
146;25;2159880;83442;7
147;25;2171775;83624;8
148;25;2154525;82009;7
149;25;2143680;81693;7
150;25;2152170;81384;7
151;25;2128410;80290;7
152;25;2133615;79922;7
153;25;2141190;80732;7
154;25;2136345;75158;7
155;25;2148765;80553;7
156;25;2137065;80746;7
157;25;2146110;80690;7
158;25;2164065;80815;8
159;25;2144415;80752;7
160;25;2162490;81358;8
161;25;2152635;80570;8
162;25;2147940;80692;7
163;25;2145945;81342;7
164;25;2141415;81000;7
165;25;2150295;81277;8
166;25;2152185;81387;7
167;25;2141040;81420;8
168;25;2149050;82233;7
169;25;2153070;81824;8
170;25;2156880;82119;7
171;25;2150955;81840;7
172;25;2142900;81185;7
173;25;2152905;81562;7
174;25;2146995;81772;7
175;25;2146050;81226;7
176;25;2152080;81806;7
177;25;2164080;82053;7
178;25;2153475;80695;7
179;25;2151135;81373;7
180;25;2144955;80659;7
181;25;2145795;81545;8
182;25;2124840;79977;7
183;25;2124195;79254;7
184;25;2126505;78206;7
185;25;2122140;79904;7
186;25;2120625;79157;7
187;25;2124525;79464;7
188;25;2127855;79740;7
189;25;2122035;80066;7
190;25;2121765;80193;7
191;25;2121975;79182;7
192;25;2119470;79208;7
193;25;2117220;80153;7
194;25;2115705;79431;9
195;25;2126145;79224;7
196;25;2126625;79904;6
197;25;2133000;80753;7
198;25;2133390;80057;7
199;25;2130765;80288;7
200;25;2126385;80693;7
201;25;2134635;80367;7
202;25;2129520;80960;7
203;25;2115630;79936;7
204;25;2112480;79197;7
205;25;2091150;79072;7
206;25;2099235;79188;6
207;25;2109270;79323;7
208;25;2109690;79380;8
209;25;2114400;78727;7
210;25;2104710;79106;6
211;25;2100660;79222;7
212;25;2095935;78889;7
213;25;2098515;79462;7
214;25;2097600;79177;7
215;25;2098875;78727;7
216;25;2107650;78968;7
217;25;2112240;79146;7
218;25;2109915;79537;7
219;25;2107725;79103;7
220;25;2097690;79230;7
221;25;2099955;78833;8
222;25;2104530;78801;6
223;25;2096760;78490;6
224;25;2094510;78745;7
225;25;2091045;79028;7
226;25;2095350;78641;7
227;25;2095410;74437;7
228;25;2107470;79631;7
229;25;2092665;79202;7
230;25;2093430;79455;7
231;25;2088570;79644;8
232;25;2094510;79457;6
233;25;2110065;79863;6
234;25;2107395;79616;8
235;25;2110830;80188;7
236;25;2114445;80002;7
237;25;2109390;79461;7
238;25;2104890;78754;7
239;25;2103450;78841;7
240;25;2093430;78712;7
241;25;2089530;78471;7
242;25;2095380;78157;12
243;25;2098275;78915;8
244;25;2105475;79089;13
245;25;2093895;78779;7
246;25;2105625;78533;7
247;25;2100885;78828;6
248;25;2107935;79192;7
249;25;2119380;79652;8
250;25;2116950;80377;7
251;25;2116560;80739;7
252;25;2150955;82670;7
253;25;2156940;82756;7
254;25;2172555;82764;7
255;25;2211255;85608;7
256;25;2246265;86357;8
257;25;2252625;87537;7
258;25;2259720;87895;8
259;25;2265120;88117;7
260;25;2256750;88004;7
261;25;2250330;87145;7
262;25;2247420;86910;8
263;25;2232015;86437;7
264;25;2242395;86958;7
265;25;2244675;86761;7
266;25;2254830;87213;8
267;25;2245770;86900;7
268;25;2231685;85826;7
269;25;2228775;86161;7
270;25;2213145;84792;7
271;25;2197590;85503;8
272;25;2192760;84581;8
273;25;2181825;84172;7
274;25;2179065;84188;7
275;25;2172525;83760;7
276;25;2167170;84128;7
277;25;2182260;84085;8
278;25;2175330;83785;7
279;25;2196960;84541;8
280;25;2195505;84890;7
281;25;2224035;84971;7
282;25;2224845;85854;7
283;25;2231430;86022;7
284;25;2236785;87122;7
285;25;2230605;86991;8
286;25;2226225;86404;8
287;25;2237610;86945;7
288;25;2261670;87977;7
289;25;2257680;87722;8
290;25;2263185;87498;8
291;25;2250900;88463;16
292;25;2254320;88237;8
293;25;2249715;87498;8
294;25;2251020;87529;7
295;25;2254560;87823;8
296;25;2249490;87153;7
297;25;2233005;86477;8
298;25;2224545;85964;7
299;25;2231370;86145;8
300;25;2233980;85849;7
301;25;2223450;85376;8
302;25;2216985;80118;7
303;25;2211840;84892;8
304;25;2209800;85213;7
305;25;2212320;85789;7
306;25;2233185;86733;8
307;25;2254710;87944;7
308;25;2250555;88233;7
309;25;2253795;88180;7
310;25;2251290;88146;10
311;25;2253180;87930;7
312;25;2265375;88564;7
313;25;2256735;88224;7
314;25;2251890;88010;8
315;25;2266020;83693;7
316;25;2264640;89780;7
317;25;2282805;89262;7
318;25;2304030;89630;8
319;25;2292135;90624;8
320;25;2299800;90165;7
321;25;2279745;89489;7
322;25;2297745;90426;8
323;25;2280015;89617;8
324;25;2278335;88906;7
325;25;2280045;89821;8
326;25;2300970;89655;7
327;25;2312955;91306;7
328;25;2301390;90331;8
329;25;2293410;90187;7
330;25;2258265;87756;7
331;25;2250465;86786;7
332;25;2261175;87590;7
333;25;2263020;88449;7
334;25;2238645;87839;8
335;25;2225910;87807;7
336;25;2243280;88021;7
337;25;2250165;88837;8
338;25;2240715;88659;9
339;25;2242200;88444;8
340;25;2250450;88873;7
341;25;2249175;88036;7
342;25;2246505;88622;7
343;25;2248260;88790;7
344;25;2259600;88560;7
345;25;2253750;89035;7
346;25;2255625;89137;8
347;25;2263740;89042;8
348;25;2257095;89169;7
349;25;2257335;88346;8
350;25;2246010;88652;8
351;25;2238555;89003;7
352;25;2243970;88418;7
353;25;2240190;88164;7
354;25;2239890;87650;9
355;25;2250465;87876;7
356;25;2237160;88439;7
357;25;2240280;88307;7
358;25;2239605;88131;8
359;25;2233080;87901;7
360;25;2245365;87833;7
361;25;2239200;88167;7
362;25;2242395;88075;8
363;25;2237310;87805;9
364;25;2249055;88364;7
365;25;2262375;89532;7
366;25;2250885;87690;7
367;25;2278650;88306;8
368;25;2252850;87842;7
369;25;2232090;87773;7
370;25;2209740;87125;8
371;25;2232060;87731;8
372;25;2232480;87537;8
373;25;2224830;81591;7
374;25;2238960;87916;7
375;25;2243790;87534;7
376;25;2237895;88250;7
377;25;2248365;88495;7
378;25;2256930;89182;7
379;25;2242035;87783;9
380;25;2232270;87692;8
381;25;2234520;86963;7
382;25;2225175;87512;7
383;25;2211765;86666;7
384;25;2209005;86935;7
385;25;2230800;87190;10
386;25;2227380;87255;8
387;25;2219805;87487;8
388;25;2228700;87998;8
389;25;2243850;87800;8
390;25;2231055;87855;7
391;25;2251725;88351;7
392;25;2234715;87403;7
393;25;2232615;87882;7
394;25;2239230;87430;7
395;25;2246730;88166;8
396;25;2244315;86173;7
397;25;2208300;86770;7
398;25;2253615;87542;8
399;25;2274300;89067;8
400;25;2279370;88844;7
401;25;2306835;90165;8
402;25;2306505;90517;7
403;25;2312625;89745;7
404;25;2304135;90800;7
405;25;2302035;90234;7
406;25;2280615;89510;7
407;25;2292000;89424;7
408;25;2296335;89465;8
409;25;2311035;89969;8
410;25;2298465;90506;9
411;25;2310600;90969;9
412;25;2308680;90074;7
413;25;2311125;89469;9
414;25;2298915;88917;12
415;25;2295255;88799;8
416;25;2284245;89326;8
417;25;2249940;87522;8
418;25;2218965;86728;8
419;25;2236875;87060;8
420;25;2228670;82620;7
421;25;2226915;87651;7
422;25;2222250;86708;9
423;25;2222325;86772;7
424;25;2205465;87115;8
425;25;2206890;86249;7
426;25;2213190;86400;9
427;25;2208855;86452;8
428;25;2214645;86748;7
429;25;2225460;87149;7
430;25;2225550;87788;7
431;25;2215605;86884;7
432;25;2214105;86371;7
433;25;2215290;86540;8
434;25;2190630;85841;7
435;25;2195670;85225;8
436;25;2192355;86436;8
437;25;2207955;85989;7
438;25;2227035;87105;7
439;25;2231820;87239;8
440;25;2236290;87722;7
441;25;2231715;87442;7
442;25;2236755;86768;8
443;25;2220390;87017;7
444;25;2215485;87406;7
445;25;2217465;86329;13
446;25;2217915;86775;7
447;25;2212860;86800;7
448;25;2242140;87712;8
449;25;2246385;88341;8
450;25;2256900;88569;7
451;25;2267070;89080;7
452;25;2275875;89010;8
453;25;2270295;87788;8
454;25;2279370;88443;7
455;25;2277180;88437;7
456;25;2273055;88077;7
457;25;2263245;88231;7
458;25;2240115;88347;7
459;25;2229210;87499;7
460;25;2224245;87434;7
461;25;2223420;87201;8
462;25;2233305;88213;8
463;25;2231430;87835;8
464;25;2246160;87837;8
465;25;2213490;87607;7
466;25;2240175;87510;7
467;25;2214390;86958;8
468;25;2217840;87188;7
469;25;2236785;88517;7
470;25;2230020;88332;7
471;25;2236770;88067;8
472;25;2229480;88304;20
473;25;2238255;88003;8
474;25;2242350;88158;7
475;25;2235465;87688;7
476;25;2241090;87445;7
477;25;2240205;87449;7
478;25;2242230;87186;7
479;25;2241210;87268;8
480;25;2236740;87590;7
481;25;2242170;87877;8
482;25;2252910;88524;8
483;25;2231265;87474;7
484;25;2235255;87375;7
485;25;2230785;88348;7
486;25;2239560;87828;8
487;25;2238300;88058;7
488;25;2251950;88532;7
489;25;2238375;88227;7
490;25;2242440;88389;8
491;25;2240370;88700;8
492;25;2224965;88266;7
493;25;2233905;87964;8
494;25;2247900;87784;7
495;25;2227170;87881;7
496;25;2237400;87919;8
497;25;2233515;87852;8
498;25;2240760;88120;7
499;25;2247120;87961;8
500;25;2236140;87759;7
501;25;2236785;88492;7
502;25;2228985;88520;7
503;25;2240625;88692;8
504;25;2234715;89068;8
505;25;2245845;88546;8
506;25;2251920;89249;8
507;25;2248635;88341;8
508;25;2248050;87244;8
509;25;2241705;87845;8
510;25;2238930;87410;7
511;25;2234235;85851;7
512;25;2199075;85552;7
513;25;2195550;84611;7
514;25;2165580;83381;8
515;25;2158950;83613;7
516;25;2153895;82053;8
517;25;2145450;82494;7
518;25;2135760;82109;7
519;25;2129235;81445;6
520;25;2123190;81072;7
521;25;2097405;80449;7
522;25;2115915;80714;7
523;25;2111415;80396;7
524;25;2099430;79795;6
525;25;2089215;79482;7
526;25;2106900;80013;7
527;25;2104560;79585;6
528;25;2090730;79419;6
529;25;2086800;78861;6
530;25;2101950;79652;8
531;25;2090640;78838;7
532;25;2097000;79181;7
533;25;2099145;79757;6
534;25;2106915;80024;8
535;25;2095050;79357;7
536;25;2103300;79401;7
537;25;2092590;79066;7
538;25;2101770;79583;7
539;25;2102430;79019;7
540;25;2096145;78749;7
541;25;2093220;79115;7
542;25;2088870;79037;7
543;25;2084775;78880;7
544;25;2083275;77792;6
545;25;2074620;77169;7
546;25;2075235;76888;8
547;25;2075265;77141;7
548;25;2081145;77677;8
549;25;2077440;77291;8
550;25;2073000;77412;7
551;25;2080410;77774;7
552;25;2081940;76846;6
553;25;2092170;77241;7
554;25;2090355;77665;6
555;25;2081415;77185;7
556;25;2089365;78184;7
557;25;2089200;78578;7
558;25;2090115;78302;6
559;25;2094255;79461;7
560;25;2100225;78627;7
561;25;2112360;79124;7
562;25;2114400;79589;7
563;25;2097075;79179;7
564;25;2092500;78206;7
565;25;2102250;78770;6
566;25;2104470;79072;7
567;25;2096340;78284;9
568;25;2099865;79439;7
569;25;2094225;78492;7
570;25;2087085;73550;7
571;25;2095470;78904;7
572;25;2109285;78644;7
573;25;2107140;79138;7
574;25;2096265;78405;7
575;25;2090355;78370;7
576;25;2098575;78584;7
577;25;2104380;78244;7
578;25;2080590;77470;7
579;25;2086575;77678;7
580;25;2088945;78174;6
581;25;2087460;77683;7
582;25;2085675;78517;7
583;25;2080575;77895;8
584;25;2090385;78227;6
585;25;2095890;78265;7
586;25;2088060;77840;7
587;25;2099655;77278;7
588;25;2086005;76969;7
589;25;2087955;77812;7
590;25;2089710;77597;6
591;25;2085375;77578;7
592;25;2078535;77226;7
593;25;2085510;78116;6
594;25;2085645;78618;7
595;25;2082990;78397;8
596;25;2078640;78451;7
597;25;2082525;77744;7
598;25;2086710;78087;7
599;25;2072565;77655;8
600;25;2076870;78001;7
601;25;2076090;76592;7
602;25;2056485;77385;7
603;25;2056815;76608;7
604;25;2069070;78010;7
605;25;2077695;77396;7
606;25;2066775;72250;7
607;25;2055120;76970;7
608;25;2055000;76556;7
609;25;2061405;76784;7
610;25;2054625;76927;6
611;25;2065260;76418;6
612;25;2059260;77005;7
